წიგნის სათაური,წიგნის ავტორი,წიგნის ფასი,წიგნის ფოტოს მისამართი
Karari Ben Veririm (გადაწყვეტილებას მე ვიღებ),Null,12.95,https://apiv1.biblusi.ge/storage/book/0wFYRJHoy9dyT78GtxhS8lbeeEnxApZur0IKBXQj.jpg
Camdaki Kiz (გოგონა სარკის მიღმა),Null,23.95,https://apiv1.biblusi.ge/storage/book/t1smmjcT8SN3Sl3n37zYgmo5kUptO6o4ZJfOhBAV.jpg
Kadinlar Sicak Erkekler Soguk Sever (ქალბატონებს უყვართ ცხელი მამაკაცებს ცივი),Null,14.95,https://apiv1.biblusi.ge/storage/book/StFqk3fkKFUPBxMAZ8dvA83VbYIEEPnPjba2fGf7.jpg
"Iz Biraktigin Kadar Varsin (შენ ხარ მანდ იქამდე, სადამდეც დატოვე კვალი)",Null,16.95,https://apiv1.biblusi.ge/storage/book/g5hR4UQDCZW2mGfK1ocNvmTA6oEPAcVV0xqJEPIq.jpg
Kagit Ev (ქაღალდის სახლი),Null,6.95,https://apiv1.biblusi.ge/storage/book/x0EthvgHqr2LAXqpdXbGO7g1rZC3nJlCDgCWs6vk.jpg
Donusum (დაბრუნება),ფრანც კაფკა,3.95,https://apiv1.biblusi.ge/storage/book/2VGUPAwTX0NHArmGWPJdp4Qontyn1qjaIDQdwbGX.jpg
Satranc (ჭადრაკი),Null,4.5,https://apiv1.biblusi.ge/storage/book/PT3LMZ6yMA2ked1QdLys2NwTXo9v6Qpc9GZAKHq4.jpg
Bin Muhtesem Gunes (ათასი მოელვარე მზე),ხალიდ ჰოსეინი,21.95,https://apiv1.biblusi.ge/storage/book/75srhxAOQMO3iTsWbIYhER89VFjje0YHWKE8k6GQ.jpg
Ucurtma Avcisi (ფრანით მორბენალი),ხალიდ ჰოსეინი,21.95,https://apiv1.biblusi.ge/storage/book/C8UYvk7y1g12D2vwokNmPfa8A5VARSmdBorLV6Kb.jpg
1984 (თურქულად),ჯორჯ ორუელი,10.95,https://apiv1.biblusi.ge/storage/book/H9MdFqjDlRfVMnD8M4u7BUaNWjCxSzUTgFBBJtdN.jpg
Suc ve Ceza (დანაშაული და სასჯელი),ფიოდორ დოსტოევსკი,14.95,https://apiv1.biblusi.ge/storage/book/paivIExoTmGhOSymjwEjE9zTPlB1gDxprUv60FSC.jpg
Benim Adim Kirmizi (მე მქვია წითელი),ორჰან ფამუქი,19.95,https://apiv1.biblusi.ge/storage/book/HxBLQU7OTVrdAIDKMg21DqirQl21lm77MWuLGBro.jpg
Cevdet bey ve Ogullari (ჯევდეთ ბეი და მისი ვაჟიშვილები),ორჰან ფამუქი,28.95,https://apiv1.biblusi.ge/storage/book/oQJ7f5VqrtoKAOhlS5p8UFSoufbNZGeHwIeUtyaw.jpg
Kar (თოვლი),ორჰან ფამუქი,18.95,https://apiv1.biblusi.ge/storage/book/hCKivlQNQzMhrViIZ5i4mWOayfoJsbi9QTVypKxb.jpg
Kirmizi Sacli Kadin (წითური ქალი),ორჰან ფამუქი,10.95,https://apiv1.biblusi.ge/storage/book/lwgCkN7vzkE6IfP8dkkzkHMz7gVnCvRaj1NC6WIV.jpg
Var Misin (იქნები?),Null,19.95,https://apiv1.biblusi.ge/storage/book/HVO8iRmzN3EpLWOrawIy2JbqtYIjXAtK5j6lV9mt.jpg
Yasamak Sakinlik Ister (ცხოვრება სიმშვიდეს მოითხოვს),Null,11.95,https://apiv1.biblusi.ge/storage/book/kpg638CgoQ56udZ0GOi4EeQd0neRtHZ7teUEw31N.jpg
Seyir (წარმოდგენა),Null,16.95,https://apiv1.biblusi.ge/storage/book/c8k9Kw9GHwRSToZmOlcC06ZwDAVSMite8OfTwJ7e.jpg
"hayat kaybettigin yerden baslar (ცხოვრება იწყება იქ, სადაც მთავრდება)",Null,11.95,https://apiv1.biblusi.ge/storage/book/LQTrIEo3JtxesYtkT4F6DznNsOSsEMdWrfQbOXKE.jpg
bir omur nasil yasanir (როგორი ცხოვრებით უნდა ვიცხოვროთ),Null,15.95,https://apiv1.biblusi.ge/storage/book/tzjzKTwKiCSajm0uUyvlfCH30fP3jHIRNr97UwOk.jpg
seker portakali (ჩემი ტკბილი ფორთოხლის ხე),Null,13.95,https://apiv1.biblusi.ge/storage/book/28e63hN1e4hpMwcLi3Ik9iNIud7e8PiJlmuJix2N.jpg
GeceYarisi Kutuphanesi (ღამის ბიბლიოთეკა),Null,17.95,https://apiv1.biblusi.ge/storage/book/MhKOYicBNKHEBkAvpMam5h88SPdO7KHeppRJ9abw.jpg
"Sen Yola Cik Yol Sana Gorunur (შენ გზას დაადექი, გზა თვითონ დაგინახავს)",Null,11.95,https://apiv1.biblusi.ge/storage/book/FwN7giMQmOmg2PnjcvtOoNCtqQmHQ8aCf0gOStCG.jpg
Simdi Onlar Dusunsun (ახლა მათ იფიქრონ),Null,15.95,https://apiv1.biblusi.ge/storage/book/F6ruMbjPAdOga49cupyzpCClp3Cl0nLqMq99PLZ8.jpg
Otomatik Portakal (მექანიკური ფორთოხალი),Null,6.95,https://apiv1.biblusi.ge/storage/book/ij6wMnnmDYRCyBwCbMCB5llbPOVyOiGoaauCgkEe.jpg
Hayir Diyebilme Sanati (უარის თქმის ხელოვნება),Null,11.95,https://apiv1.biblusi.ge/storage/book/ErQeZsXXdfUtmCTkYHDoNPV5OzSfxqTF9lGHuYMO.jpg
Французская рапсодия,Null,45.95,https://apiv1.biblusi.ge/storage/book/al8HKIJTkzmtT6EufTI0UkdVBgLdAvqGWr5GfNon.jpg
Yasli Adam ve Deniz (მოხუცი და ზღვა),ერნესტ ჰემინგუეი,13.95,https://apiv1.biblusi.ge/storage/book/U9o9CEEfKDMm8Y4AHDZ794iiHCa6H8CrmSRySIHU.jpg
Три новеллы,ფრედერიკ ბაკმანი,45.95,https://apiv1.biblusi.ge/storage/book/a35feB4WvmJF6IR8ubq7vF23IGS3PBPj04YnIb6T.png
Ben Kirke (კირკე),მადელინ მილერი,19.95,https://apiv1.biblusi.ge/storage/book/Bo74OxSw2ODwNkxYRT7ZGAfnvQPH1WKnokNghena.jpg
Siddhartha (ზიდჰარტა),ჰერმან ჰესე,10.95,https://apiv1.biblusi.ge/storage/book/KBhdbwC1URh4qosVrAOnElQlsFkkZc1Y6BYaxglH.jpg
Hobbit (ჰობიტი),ჯონ რონალდ რუელ ტოლკინი,16.95,https://apiv1.biblusi.ge/storage/book/T85vkckWfQdqJxHiWywnw2u1RWI6nlRqRIjTcurh.jpg
Какое будущее мы выбираем,Null,46.95,https://apiv1.biblusi.ge/storage/book/5nUfx6E342P19GUu4MjRxKQoWNSG05n9qQ73ocTR.jpg
Masumiyet Muzesi (უმანკოების მუზეუმი),ორჰან ფამუქი,23.95,https://apiv1.biblusi.ge/storage/book/8RiPQADVliSdulzsF216AvWIxXrMe6uaxh5ZKgKz.jpg
За закрытой дверью,ბერნარდინ ევარისტო,55.95,https://apiv1.biblusi.ge/storage/book/qBIV1VhfMHeV2XVWj01UnjxS415dqe3B3uRxRAQC.jpg
Cavdar Tarlasinda Cocuklar (თამაში ჭვავის ყანაში),ჯერომ სელინჯერი,12.95,https://apiv1.biblusi.ge/storage/book/VnOEscoUYeGtnYg8rlgWc2e88k8TNgwi2SR8vVH5.jpg
Думай как художник,Null,49.95,https://apiv1.biblusi.ge/storage/book/BFnMoJtVwxnv5YwYDU8elyvWoyjUIVgAHabFKOhR.jpg
Вторая жизнь Уве,ფრედერიკ ბაკმანი,55.95,https://apiv1.biblusi.ge/storage/book/vfkoATOWCyC6DYYB6CoxLoqQVOpU5cUGX0PNFurw.jpg
Sut Lekesi (რძის ლაქა),Null,13.95,https://apiv1.biblusi.ge/storage/book/6y3yb2ldqg74bLL58ryvaEyrGnVhCNpgczE5akc3.jpg
Askin Kirk Kurali (სიყვარულის ორმოცი წესი),ელიფ შაფაქი,7.95,https://apiv1.biblusi.ge/storage/book/NeacIV9pxU62cxLvvoo4cBC7qEdG2rV5bQHmI7BM.jpg
Havvanin Uc Kizi (ევას სამი ქალიშვილი),ელიფ შაფაქი,26.95,https://apiv1.biblusi.ge/storage/book/XsukleJd0HHDGwVZAVlKhoaNStmLtsKlbacB5ZPP.jpg
Bit Palas (რწყილების სასახლე),ელიფ შაფაქი,26.95,https://apiv1.biblusi.ge/storage/book/aANN4cg320vKs2xC4XmALKUz3847TaZWf8OtUMyi.jpg
ASK (სიყვარული),ელიფ შაფაქი,26.95,https://apiv1.biblusi.ge/storage/book/pmqkJCsaVkDxIRssOLGHjUJUHTsHkXXJba83H9MY.jpg
On Dakika Otuz Sekiz Saniye (ათი წუთი და ოცდათვრამეტი წამი ამ უცნურ სამყაროში),ელიფ შაფაქი,26.95,https://apiv1.biblusi.ge/storage/book/C2R9j5XwKZ2EuoOggZVTpOIDVbzyIQTRIgB70wI0.jpg
ძუძუ,ფილიპ როთი,14.9,https://apiv1.biblusi.ge/storage/book/RNt1ou4Zv8KsPRW5oW7QHIEPM8yl6mHIcvswRv8k.jpg
აუსტერლიცი,ვ. გ. ზებალდი,17.9,https://apiv1.biblusi.ge/storage/book/9Yq3AvdecHzGGZlbSmfmuFkDpSXbInBuGJ8X99rG.jpg
აპეიროგონი,კოლუმ მაკკენი,23.9,https://apiv1.biblusi.ge/storage/book/cF6flRw7KXPRxwKPWfkTH3Xf0jiQhYCUAQXnlkkq.jpg
განა ეს ადამიანია,პრიმო ლევი,15.9,https://apiv1.biblusi.ge/storage/book/OKju6tSl6qJmBX6DFVxTzhZnq7YvrLgLCx3VWoLb.jpg
